X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Wx,Wy,Wz,Act_m1,Act_m2,Act_m3,Act_m4
0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61595.6,61595.6,61595.6,61595.6
-19.9068506452113,-12.630469167355047,-15.469884091546188,-0.015422563976713826,0.03742054807475979,0.066074876163283,-358.3233116138034,-227.34844501239087,-305.45791364783133,0.2776061515808489,-0.6735698653456762,-1.189347770939094,53498.5548150301,61595.6,56759.872964990136,52303.38352813721
-19.92053167120364,-12.639102926739055,-15.45998475951443,-0.013166675464599027,0.034524120662744955,0.06430720062137459,-239.1284662103977,-151.72103767717272,-203.46042112198262,0.14446477450249953,-0.39691088348085046,-0.7610803542050445,53469.185412979125,61595.6,56757.70217584372,52285.90774097443
-20.067891221826027,-12.729652895887915,-15.635253141368938,-0.02031480741779906,0.04465911798046218,0.07547365917860824,-241.69885196564664,-153.29913456554814,-206.67464798755432,0.2866664807327889,-0.5967193996718496,-0.9726826614867008,53472.13386797905,61595.6,56756.43805162907,52285.45015304089
-20.09221910346946,-12.729130051799254,-15.615376536203257,-0.018834261069265487,0.04297716853935522,0.07427860496939862,-241.25259653149413,-152.7464235570591,-205.26525880344496,0.21712785473998442,-0.505634325825621,-0.8841729343775256,53466.021013855934,61595.6,56758.312293088435,52285.28227066994
-19.890497643902833,-12.83175892136315,-15.630801207934198,-0.009354532798592264,0.034020713678952416,0.06245175520232599,-237.47564296943423,-154.5968802737412,-205.66216252559602,0.05537602395906784,-0.35450983498501215,-0.6784599638254761,53517.419052815436,61595.6,56722.8230279088,52257.1878401041
-19.803717372833283,-12.714406460922332,-15.663851319997658,-0.01658129143631033,0.04524766522903087,0.07152695328106348,-237.1239268475821,-151.8687627684231,-206.16451651235266,0.24233604906203238,-0.6103336920488411,-0.9127746278451866,53493.13384988308,61595.6,56740.0004316926,52271.08202543259
-19.929287194373963,-12.717245136615745,-15.562529921604671,-0.01718843505073591,0.03893773374392178,0.06604717862241685,-239.90486526173163,-152.62397369354943,-204.14243066889813,0.20990408229538443,-0.42939321601640684,-0.7596874955171224,53474.52026748657,61595.6,56756.6918777585,52286.987795352936
-19.845277761181745,-12.705640586106128,-15.598888449902713,-0.019575658965853074,0.04023708119086657,0.06378198570933537,-237.6392765350276,-152.39805973021583,-205.4048125686208,0.24923125108093988,-0.4906410589720675,-0.7517926710335356,53492.92591605186,61595.6,56743.805821061134,52276.659191274644
-19.789863584357647,-12.690094586542306,-15.69092738483921,-0.01724522040989781,0.04533717999818492,0.07039434493459078,-356.586981822615,-227.97067404525507,-308.6626667769666,0.2854953974433251,-0.7991700412706879,-1.2808555515463198,53501.076721978185,61595.6,56756.482608878614,52299.53358151913
-19.864507595206927,-12.702330096250654,-15.608492797686079,-0.007990232711524783,0.03425885656015927,0.06445326712034312,-0.02183362099724917,-0.9875467613014095,-1.1093009585693636,-0.15825323244519546,0.1217888032754491,0.06571182865221506,53435.18839845657,50396.4,50396.4,61462.656520414355
-20.0933150302705,-12.71780429780208,-15.604748115199584,-0.01979574399534247,0.042160174968756,0.0734250266013591,-4.33040222291806,-1.5805614769580387,-2.76630246442992,0.1932706817910276,-0.19985054603001629,-0.23024321998931213,50396.4,50396.4,50396.4,61423.85566699505
-20.082904757174205,-12.62344079534695,-15.853111429506189,-0.032941218486493534,0.06442520714091285,0.09387622760815083,-0.26366807546096993,1.8438632857543311,-3.985219712492551,0.22150650168003866,-0.3606915663117073,-0.33636770194000365,52106.767238307,50396.4,50396.4,61595.6
-19.88675383954278,-12.896641621365358,-15.704841051294899,-0.00890722063141996,0.03576371445412606,0.06419580172540594,4.85281743030847,-4.265117008287071,-0.27649994221760466,-0.32020684200862715,0.31226913430588754,0.37003729282681724,58411.341360235216,50396.4,50396.4,61451.972459626195
-19.942461631050932,-12.87065534376345,-15.898421170159882,-0.016300066677634627,0.051308390293616,0.08045582356689145,-0.4371329684087968,0.39327535945274406,-4.571220932278862,0.1710640346521048,-0.3680818837133734,-0.3680601398961235,52841.57669427395,50396.4,50396.4,61595.6
-19.790960704557165,-12.786435870183327,-15.815729004614198,-0.010278728705241203,0.041230625644268194,0.07093869881039493,0.30866664903194874,-0.376068123811681,-0.7184508317664609,-0.10811591892063652,0.14653065182389352,0.09704045013888159,53131.846648693085,50396.4,50396.4,61532.19753711224
-19.774315693730912,-12.710644203001735,-15.722026389858325,-0.017649453644401025,0.04503498306855234,0.07686741075885863,2.4635846718274266,0.6035885095153724,-1.5698931002968521,0.06407991624964329,-0.10378922112294027,-0.15182389984959457,54940.22548422813,50396.4,50396.4,61595.6
-19.903394951191597,-12.563808645450857,-15.779205645128727,-0.030271747190376334,0.051847000002481755,0.0835873763100267,-1.1393967639377536,2.676272630551445,-3.059115483953555,0.1901041886343994,-0.2107917201868689,-0.317658635866837,50648.877396512034,50396.4,50396.4,61595.6
-20.08415777245866,-12.668859402243156,-15.712792503589604,-0.022493321868908598,0.04479651494257097,0.08070213665415493,-5.06397124991021,-0.448895387414062,0.6307049471487858,-0.0392232606109151,0.11526083165498609,-0.07073559581405327,50396.4,50396.4,50396.4,61166.15956521034
-20.293384330686447,-12.718977979035301,-15.763919082581634,-0.013834101291923008,0.03423509069533547,0.07370621834482548,-7.774724785502393,-0.5933312634772143,-2.1494067977798608,0.08900416720577134,0.016245825409718175,-0.12289046172390752,50396.4,50396.4,50396.4,61595.6
