KF_Variance,Success_Rate
1e-13,0.99984
1.2045035402587835e-13,0.99994
1.4508287784959373e-13,0.9999
1.747528400007683e-13,0.9999
2.104904144512022e-13,0.99992
2.5353644939701166e-13,0.99992
3.0538555088334123e-13,0.99986
3.678379771828634e-13,0.99982
4.430621457583887e-13,0.9999
5.336699231206301e-13,0.99994
6.42807311728432e-13,0.99982
7.742636826811278e-13,0.99988
9.32603346883218e-13,0.99984
1.1233240329780266e-12,0.99994
1.3530477745798075e-12,0.99992
1.6297508346206468e-12,0.99996
1.9630406500402686e-12,0.99996
2.364489412645407e-12,0.9999
2.848035868435805e-12,0.99996
3.430469286314926e-12,0.99982
4.132012400115335e-12,0.9999
4.9770235643321135e-12,0.99984
5.994842503189421e-12,0.99982
7.220809018385456e-12,0.9998
8.697490026177835e-12,0.9999
1.0476157527896662e-11,0.99984
1.2618568830660185e-11,0.99988
1.519911082952933e-11,0.99976
1.8307382802953698e-11,0.99964
2.205130739903041e-11,0.99976
2.656087782946684e-11,0.99952
3.199267137797384e-11,0.99942
3.853528593710535e-11,0.9992
4.6415888336127916e-11,0.99832
5.5908101825122225e-11,0.9988
6.734150657750828e-11,0.9962
8.111308307896889e-11,0.99606
9.770099572992247e-11,0.99458
1.176811952434999e-10,0.99074
1.4174741629268076e-10,0.98806
1.7073526474706887e-10,0.9847
2.0565123083486515e-10,0.97832
2.477076355991714e-10,0.97118
2.983647240283334e-10,0.95768
3.593813663804626e-10,0.9506
4.3287612810830617e-10,0.93642
5.214008287999695e-10,0.9275
6.280291441834272e-10,0.91282
7.564633275546291e-10,0.9026
9.111627561154905e-10,0.88906
1.097498765493059e-09,0.87862
1.3219411484660288e-09,0.87014
1.5922827933410938e-09,0.85246
1.9179102616724926e-09,0.83756
2.310129700083158e-09,0.82218
2.7825594022071257e-09,0.80656
3.351602650938848e-09,0.7896
4.0370172585965495e-09,0.76812
4.862601580065353e-09,0.75328
5.857020818056674e-09,0.73216
7.054802310718631e-09,0.71662
8.497534359086472e-09,0.69904
1.0235310218990269e-08,0.67976
1.2328467394420685e-08,0.66116
1.4849682622544666e-08,0.63958
1.7886495290574353e-08,0.62042
2.1544346900318866e-08,0.60162
2.5950242113997372e-08,0.5835
3.1257158496882415e-08,0.56636
3.7649358067924714e-08,0.55092
4.534878508128591e-08,0.53962
5.4622772176843485e-08,0.52998
6.579332246575682e-08,0.52196
7.924828983539185e-08,0.51722
9.545484566618347e-08,0.51288
1.149756995397738e-07,0.51072
1.3848863713938745e-07,0.50878
1.668100537200059e-07,0.5082
2.00923300256505e-07,0.50768
2.4201282647943835e-07,0.50734
2.9150530628251817e-07,0.50686
3.5111917342151345e-07,0.50742
4.2292428743895076e-07,0.50708
5.094138014816385e-07,0.50714
6.135907273413176e-07,0.50712
7.390722033525791e-07,0.50744
8.902150854450393e-07,0.50762
1.0722672220103253e-06,0.50836
1.2915496650148854e-06,0.50882
1.5556761439304754e-06,0.50884
1.873817422860387e-06,0.50958
2.2570197196339214e-06,0.5097
2.7185882427329457e-06,0.51
3.2745491628777315e-06,0.51108
3.944206059437664e-06,0.51084
4.750810162102803e-06,0.51058
5.72236765935022e-06,0.51182
6.892612104349709e-06,0.51246
8.302175681319752e-06,0.51104
1e-05,0.51316
