KF_Variance,Success_Rate
1e-13,0.99998
1.2045035402587835e-13,0.99988
1.4508287784959373e-13,0.99992
1.747528400007683e-13,0.99998
2.104904144512022e-13,0.99992
2.5353644939701166e-13,0.99984
3.0538555088334123e-13,0.99988
3.678379771828634e-13,0.99992
4.430621457583887e-13,0.99994
5.336699231206301e-13,0.99996
6.42807311728432e-13,0.99996
7.742636826811278e-13,1.0
9.32603346883218e-13,0.99992
1.1233240329780266e-12,0.99994
1.3530477745798075e-12,0.9999
1.6297508346206468e-12,0.99994
1.9630406500402686e-12,0.99996
2.364489412645407e-12,0.99994
2.848035868435805e-12,0.99994
3.430469286314926e-12,0.99996
4.132012400115335e-12,0.99998
4.9770235643321135e-12,0.99982
5.994842503189421e-12,0.99998
7.220809018385456e-12,0.99992
8.697490026177835e-12,0.99996
1.0476157527896662e-11,0.99988
1.2618568830660185e-11,0.99996
1.519911082952933e-11,0.9998
1.8307382802953698e-11,0.99984
2.205130739903041e-11,0.99988
2.656087782946684e-11,0.9997
3.199267137797384e-11,0.99984
3.853528593710535e-11,0.99954
4.6415888336127916e-11,0.99936
5.5908101825122225e-11,0.9994
6.734150657750828e-11,0.99868
8.111308307896889e-11,0.99814
9.770099572992247e-11,0.99796
1.176811952434999e-10,0.99616
1.4174741629268076e-10,0.99448
1.7073526474706887e-10,0.99
2.0565123083486515e-10,0.9844
2.477076355991714e-10,0.9767
2.983647240283334e-10,0.96582
3.593813663804626e-10,0.96232
4.3287612810830617e-10,0.9595
5.214008287999695e-10,0.94096
6.280291441834272e-10,0.92582
7.564633275546291e-10,0.92714
9.111627561154905e-10,0.90838
1.097498765493059e-09,0.89874
1.3219411484660288e-09,0.88638
1.5922827933410938e-09,0.87696
1.9179102616724926e-09,0.86174
2.310129700083158e-09,0.84864
2.7825594022071257e-09,0.8309
3.351602650938848e-09,0.81484
4.0370172585965495e-09,0.79732
4.862601580065353e-09,0.77824
5.857020818056674e-09,0.75852
7.054802310718631e-09,0.7388
8.497534359086472e-09,0.7227
1.0235310218990269e-08,0.704
1.2328467394420685e-08,0.68064
1.4849682622544666e-08,0.66258
1.7886495290574353e-08,0.63922
2.1544346900318866e-08,0.6181
2.5950242113997372e-08,0.5972
3.1257158496882415e-08,0.57796
3.7649358067924714e-08,0.56272
4.534878508128591e-08,0.54832
5.4622772176843485e-08,0.5404
6.579332246575682e-08,0.53194
7.924828983539185e-08,0.52802
9.545484566618347e-08,0.52258
1.149756995397738e-07,0.52016
1.3848863713938745e-07,0.5203
1.668100537200059e-07,0.51754
2.00923300256505e-07,0.51516
2.4201282647943835e-07,0.51562
2.9150530628251817e-07,0.5151
3.5111917342151345e-07,0.51332
4.2292428743895076e-07,0.51226
5.094138014816385e-07,0.5122
6.135907273413176e-07,0.5119
7.390722033525791e-07,0.51278
8.902150854450393e-07,0.5124
1.0722672220103253e-06,0.51282
1.2915496650148854e-06,0.51288
1.5556761439304754e-06,0.51328
1.873817422860387e-06,0.51278
2.2570197196339214e-06,0.5129
2.7185882427329457e-06,0.51262
3.2745491628777315e-06,0.51346
3.944206059437664e-06,0.51402
4.750810162102803e-06,0.51444
5.72236765935022e-06,0.51384
6.892612104349709e-06,0.514
8.302175681319752e-06,0.51376
1e-05,0.5144
