X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Wx,Wy,Wz,Avg_m1,Avg_m2,Avg_m3,Avg_m4,Delta_m1,Delta_m2,Delta_m3,Delta_m4,Act_m1,Act_m2,Act_m3,Act_m4
-0.0017178472053659946,-0.012074372066929774,0.9835075644953043,-0.07379026453461211,0.07883126015057312,0.07486637717128193,-0.030921249696587903,-0.21733869720473592,-0.29686383908452274,1.328224761623018,-1.4189626827103161,-1.3475947890830748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13772544264793396,1.0,1.0,0.40130162239074707
-0.0017853736249779583,-0.012067024035101612,0.9836298344064524,-0.06655531503108413,0.07282691308311869,0.07433162574392752,-0.021829642017407284,-0.14476020023025038,-0.19570836765568397,0.7552540833518415,-0.8378968745926976,-0.8887710003630037,-0.027545088529586793,0.2,0.2,0.08026032447814942,-0.13772544264793396,1.0,1.0,0.40130162239074707,0.1376839429140091,1.0,1.0,0.6779621839523315
-0.0017408898286912589,-0.012034764334413849,0.9835786949441542,-0.07058058141648321,0.07538337195271991,0.07399629378453165,-0.02062377516657491,-0.1442236138088396,-0.19736249744393877,0.8711185753101931,-0.9199392166502461,-0.8859435336580047,-8.299946784973145e-06,0.4,0.4,0.21585276126861572,0.27540938556194305,0.0,0.0,0.2766605615615845,0.39591047167778015,1.0,1.0,1.0
-0.0017894803474973492,-0.012044342377914059,0.9836180609036069,-0.06693332087423932,0.07237153109339392,0.07385997326658632,-0.021765307282804736,-0.14458957679596998,-0.19634707340000035,0.7813162872374086,-0.850387327964771,-0.8855017560913637,0.07917379438877106,0.6,0.6,0.4158527612686157,0.25822652876377106,0.0,0.0,0.32203781604766846,0.5340394973754883,1.0,1.0,1.0
-0.001743493074562287,-0.01211513432889278,0.9834951224785622,-0.07284486956879134,0.0802818476460048,0.07582496694300642,-0.02064599325713707,-0.1458063636525857,-0.19879616080752255,0.9096077269928081,-1.0108440710677227,-0.9216895653745976,0.1859816938638687,0.8,0.8,0.6158527612686158,0.13812902569770813,0.0,0.0,0.0,0.5880273580551147,1.0,1.0,1.0
-0.0016855629708296773,-0.012151385462439518,0.9833854858010306,-0.07825044528642597,0.0839153601431448,0.07691012718124489,-0.019879175027560474,-0.14603413235055468,-0.2000319904528224,0.9714387977429194,-1.0287853967005776,-0.9294324876043694,0.3035871654748917,1.0,1.0,0.8158527612686157,0.053987860679626465,0.0,0.0,0.0,0.7145563364028931,1.0,1.0,1.0
-0.0016589261646980946,-0.011990374563761418,0.9833550592405524,-0.07979881561243228,0.07110708104466756,0.06250459128555873,-0.01974729313958764,-0.14291842937306842,-0.19992184847623995,0.9668760093052253,-0.7764352979451473,-0.6636218800525878,0.47404352128505706,1.0,1.0,0.9355924367904663,0.12652897834777832,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.0018247080092232402,-0.012224346821851275,0.9836026083670186,-0.06518363923434232,0.08270482494447126,0.08202716295741658,-0.022891187177829755,-0.14809599541075444,-0.19528340483697842,0.6945126125435681,-1.0620443627324772,-1.101461385520146,0.6465067327022552,1.0,1.0,1.0,0.28544366359710693,0.0,0.0,0.0,0.8831713199615479,1.0,1.0,1.0
-0.0017310910947943715,-0.01203421011481363,0.9836048141162603,-0.06697899595403722,0.07210060382190868,0.07339130479076238,-0.030518474883155212,-0.21571593353711632,-0.2956836091376003,1.2572616789742888,-1.2745694800309673,-1.2780787715169148,0.7439589023590087,1.0,1.0,1.0,-0.11682868003845215,0.0,0.0,0.0,0.8512969613075256,1.0,1.0,1.0
-0.0017212105180300947,-0.012150035645287868,0.9834930376691963,-0.06999501035302029,0.07627101808630228,0.07336337651571155,-0.00038623480905532203,-0.0015588279321735905,-0.00011136112879262666,-0.0708566608063714,0.04172650158961513,0.02141208608127601,0.8074103951454162,1.0,1.0,1.0,-0.03187435865402222,0.0,0.0,0.0,1.0,1.0,1.0,1.0
