X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Wx,Wy,Wz,Avg_m1,Avg_m2,Avg_m3,Avg_m4,Delta_m1,Delta_m2,Delta_m3,Delta_m4,Act_m1,Act_m2,Act_m3,Act_m4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6861249804496765,0.8555773496627808,1.0,0.6024863123893738
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9526757001876831,-1.0,1.0,1.0
-31.297344448657366,-9.079818859962366,-17.916069478834235,0.004231660376889407,0.015744215271486298,-0.08393452185446394,-563.3522000758326,-163.4367394793226,-340.4892506190162,-0.07616988678400932,-0.2833958748867534,1.5108213933803512,0.1372249960899353,0.17111546993255616,0.2,0.12049726247787476,0.6861249804496765,0.8555773496627808,1.0,0.6024863123893738,-0.8118521571159363,-1.0,1.0,1.0
-31.297344448657366,-9.079818859962366,-17.916069478834235,0.004231660376889407,0.015744215271486298,-0.08393452185446394,-563.3522000758326,-163.4367394793226,-340.4892506190162,-0.07616988678400932,-0.2833958748867534,1.5108213933803512,0.1372249960899353,0.17111546993255616,0.2,0.12049726247787476,0.6861249804496765,0.8555773496627808,1.0,0.6024863123893738,-0.7642778754234314,-1.0,1.0,1.0
-31.29175540485876,-9.041105236948606,-17.914116188121174,0.004488046650057688,0.01707314452800019,-0.08227234634808539,-375.4675305955135,-108.26098110530074,-226.9576745131757,-0.05539487743970195,-0.21285130987508563,0.9772951031387536,-0.05331014394760132,-0.028884530067443848,0.4,0.32049726247787474,-1.6388006806373596,-1.8555773496627808,0.0,0.3975136876106262,-0.7826870083808899,-1.0,1.0,1.0
-31.29175540485876,-9.041105236948606,-17.914116188121174,0.004488046650057688,0.01707314452800019,-0.08227234634808539,-375.4675305955135,-108.26098110530074,-226.9576745131757,-0.05539487743970195,-0.21285130987508563,0.9772951031387536,-0.05331014394760132,-0.028884530067443848,0.4,0.32049726247787474,-1.6388006806373596,-1.8555773496627808,0.0,0.3975136876106262,-0.7541946768760681,-1.0,1.0,1.0
-31.375620185706627,-9.362734233727918,-17.930701974055264,0.015024025210791376,0.00718430359215703,-0.08604436509904206,-377.01063091356673,-114.28258478541088,-227.2679384042677,-0.24350417389389864,-0.02687859749082542,1.0551644936942448,-0.21568057537078858,-0.22888453006744386,0.6,0.5204972624778748,0.14082354307174683,0.0,0.0,0.0,-0.7756379842758179,-1.0,1.0,1.0
-31.375620185706627,-9.362734233727918,-17.930701974055264,0.015024025210791376,0.00718430359215703,-0.08604436509904206,-377.01063091356673,-114.28258478541088,-227.2679384042677,-0.24350417389389864,-0.02687859749082542,1.0551644936942448,-0.21568057537078858,-0.22888453006744386,0.6,0.5204972624778748,0.14082354307174683,0.0,0.0,0.0,-0.8187354803085327,-1.0,1.0,1.0
-31.372232689151524,-9.091408016902044,-17.962813299025576,-0.0021256103898111985,0.029169911458224246,-0.06711250480359263,-376.4464672904877,-107.4689389018693,-227.74642753812878,0.1284051382813498,-0.48195258469509417,0.691758895870415,-0.36853615045547483,-0.42888453006744387,0.8,0.7204972624778747,0.04757428169250488,0.0,0.0,0.0,-0.834827721118927,-1.0,1.0,1.0
-31.372232689151524,-9.091408016902044,-17.962813299025576,-0.0021256103898111985,0.029169911458224246,-0.06711250480359263,-376.4464672904877,-107.4689389018693,-227.74642753812878,0.1284051382813498,-0.48195258469509417,0.691758895870415,-0.36853615045547483,-0.42888453006744387,0.8,0.7204972624778747,0.04757428169250488,0.0,0.0,0.0,-0.830062210559845,-1.0,1.0,1.0
-31.31126972308438,-9.299360603356174,-17.959242990183526,0.011536249750769495,0.01049779075673476,-0.08630418718656736,-375.36945888060967,-112.84004275899886,-227.48949402915005,-0.2204061578527181,-0.013940764871880274,1.150800340536657,-0.5250735521316529,-0.6288845300674438,1.0,0.9204972624778748,-0.018409132957458496,0.0,0.0,0.0,0.021587319672107697,-1.0,-0.5960575342178345,0.9987691044807434
-31.31126972308438,-9.299360603356174,-17.959242990183526,0.011536249750769495,0.01049779075673476,-0.08630418718656736,-375.36945888060967,-112.84004275899886,-227.48949402915005,-0.2204061578527181,-0.013940764871880274,1.150800340536657,-0.5250735521316529,-0.6288845300674438,1.0,0.9204972624778748,-0.018409132957458496,0.0,0.0,0.0,-0.33352142572402954,-1.0,-0.7848862409591675,1.0
-31.35202825836991,-8.879171393554168,-18.015149219685348,-0.008694733103198885,0.0346229830358238,-0.06788144913886737,-376.4688903121521,-104.02892146383799,-228.51722801323513,0.2257226943621969,-0.5602269501044199,0.7040409613802086,-0.8131374835968017,-1.0,1.0,1.0,0.028492331504821777,0.0,0.0,0.0,0.38417527079582214,-1.0,-1.0,1.0
