X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Wx,Wy,Wz,Act_m1,Act_m2,Act_m3,Act_m4
0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64900.0,64900.0,64900.0,64900.0
-20.1687890470031,-12.304329718808846,-15.884109655098964,-0.010381320514313818,0.0312936825092285,-0.008704784955204091,-363.0382028460558,-221.47793493855926,-312.91397379178136,0.18686376925764875,-0.563286285166113,0.15668612919367367,56337.97129392624,64900.0,59806.8008095026,55097.36957550049
-20.211555173962463,-12.403585235678616,-15.839029193899567,-0.010974084852422914,0.0220807012239518,-0.020026409701448897,-242.79525884930572,-149.43855592936202,-207.79786755959844,0.13524560425772955,-0.2096905269757614,0.30824666489485564,56124.45853948593,64900.0,59817.0014500618,55007.63495564461
-20.167997858962615,-12.43302572900546,-15.73225371468251,-0.01619694123390894,0.02745558321362071,-0.014401044847170787,-241.75463041755228,-149.3729517080266,-206.14639170088782,0.22570043309582344,-0.361716290501462,0.1390603490403808,56182.71435499191,64900.0,59813.28098475933,55030.93538284302
-20.166927839860747,-12.200574890315107,-15.93982854394186,-0.02086850627581587,0.030673623379344553,-0.01390661701435543,-241.99671396371778,-145.01219365163917,-210.52339150285843,0.278451465561232,-0.3873917215464777,0.16391283717537303,55544.55899000168,64900.0,59865.26446044445,54789.33143615723
-20.15858852714407,-12.342822978778099,-15.65084325421184,-0.01310201152532753,0.025542601331620993,-0.00946482832945298,-241.85302644942877,-148.96736427611512,-204.07620731216196,0.11062516980100034,-0.27572508369311055,0.08692720784402108,56146.77218794823,64900.0,59816.3784712553,55017.768251895905
-20.2490813592077,-12.353476334726256,-15.557482885756944,-0.015234088231795026,0.01995536818108122,-0.014825615218855212,-243.53193330287417,-148.30563615240402,-204.129632418354,0.19560151902034528,-0.20594101926973601,0.21007210396267598,55992.18376874924,64900.0,59827.46513783932,54957.325065135956
-20.138489526595556,-12.484128407256545,-15.783698075519887,-0.01701375833780581,0.02773040174467758,-0.017092279324416638,-240.9983233234738,-150.59345332226027,-208.7616680448163,0.21484312068973446,-0.37941502231770907,0.21870733652636823,56275.39418935776,64900.0,59802.84754037857,55060.95476746559
-20.11383598011551,-12.301060340775026,-15.953324842554164,-0.007338189339757438,0.0326980651217008,-0.005552680543850875,-241.21811048250584,-146.5143156904112,-210.45765871285568,0.030004858088799,-0.422182761722549,-0.0026054261571840653,55852.41004228592,64900.0,59836.634865403175,54901.018542051315
-20.218545268311672,-12.33504344517872,-15.800824183222943,-0.018302826743043756,0.03146784552803441,-0.007240864996431741,-364.26353323093565,-222.0503982814199,-310.99954417328183,0.34770966842212586,-0.5579949238297857,0.14924819640389067,56338.85011076927,64900.0,59806.812942028046,55097.81548976898
-20.24417040077658,-12.474047821213786,-15.870192879864394,-0.010440121184855756,0.021833302817498377,-0.019194720474642282,-1.3149238018273834,-3.4661765862882845,0.021271890162516627,-0.04291403927397018,0.22660970027563793,0.2655321075799904,56682.776963710785,53100.0,53100.0,63865.69306254387
-20.208910526586322,-12.245183432846385,-15.655290791520844,-0.012149848079299655,0.025124610892496825,-0.008366358302453348,0.5046389036543104,3.097365004230106,4.134926233908303,0.05570465837810046,-0.08852405641054446,-0.23864297894674888,55501.713943481445,53100.0,53100.0,64900.0
-20.336935567754644,-12.535163521449352,-15.787871973361987,-0.007046443538803589,0.014530616657840527,-0.02086458880968079,-2.788982637903075,-1.570829008802395,-2.7083551707566826,-0.11239700933279906,0.19935532308295695,0.14958534359659253,54433.77740383148,53100.0,53100.0,64703.11654210091
-20.507437820580055,-12.668036485464711,-15.877151960033505,-0.00394271419383175,0.010938215193774282,-0.022510418291507853,-5.059097409284085,-7.260265456665358,1.9503508252512987,-0.2683308495565705,0.2891654392975821,0.08646986010737676,58292.84775406122,53100.0,53100.0,63067.00363755226
-20.312855805828672,-12.14740885831176,-15.848249078308726,-0.02533080884328909,0.03716102103945656,5.047896251596274e-05,-1.2266722480887324,5.4048150728248245,-1.6352903880845915,0.2878665959510877,-0.2632344726648818,-0.21738434969135684,53100.0,53100.0,53230.649012327194,64900.0
-20.36557476657719,-12.36271533859585,-15.871383213910612,0.0006446759206894583,0.006955577393723345,-0.02679346301318932,-1.0506836572521152,-2.1866193633213946,-5.26289989003299,-0.3357200577776204,0.2905799499411158,0.31827781001960953,57866.308864951134,53100.0,53100.0,64900.0
-20.285424986764777,-12.562184283616475,-15.727619383607031,-0.008774618229677534,0.008656378414318891,-0.028326819408246755,-1.1344055642759017,-1.0350757875537866,0.517766682570084,-0.10040733038362763,0.18887749357859165,0.07477702669291145,54870.40097117424,53100.0,53100.0,64163.87572288513
-20.245105044317278,-12.41931638828101,-15.727810532992219,-0.009704863898011803,0.02156947421895127,-0.013324943315618855,-1.9615648449131768,-0.7657638244811764,3.6200287744195307,0.0997693931287759,0.06344583356719846,0.013385003420933577,53995.53792476654,53100.0,53100.0,63694.51684355736
-20.355635364811437,-12.501009479235949,-15.779698634588627,-0.006313144524372292,0.013184648808095783,-0.021299034642908925,-2.4620138757515804,-3.3157772106267807,-0.47403420581535727,-0.21140273621502265,0.3275145693676126,0.28826571659072997,56024.54244494438,53100.0,53100.0,63994.724053144455
-20.238101239678407,-12.418542367177631,-15.782600292047263,-0.01083463796984609,0.02454253727651155,-0.008921360362726167,0.989593929117774,2.5340544509881617,2.32311363911505,0.0421215234593902,-0.12040599276864335,-0.2625165400572236,56486.80291771889,53100.0,53100.0,64900.0
-20.195661407955388,-12.570700322623182,-15.897557668256454,-0.007915052743432504,0.02739458672422741,-0.005617266913539515,-0.35452183310059837,-6.559030941612664,-4.392433869129313,-0.09895548263186374,0.0192119587408756,0.02217572568127877,60586.59637570381,53100.0,53100.0,63708.336317539215
-20.18786395250831,-12.644615319718419,-15.91660907567623,-0.010522495060945707,0.02693767711177308,-0.004031501691255742,0.8126305986860274,-2.5541493458923767,-2.1948335923186875,0.038734896100953604,-0.12458885898806724,-0.20163665986384088,58779.77628856897,53100.0,53100.0,64510.98024249077
-20.23164694613646,-12.45014467530375,-15.863475781647999,-0.007009820294777895,0.018555810334595985,-0.011379668794206701,4.214284620062507,6.90529135133724,0.6563311951441335,0.1440577925110909,-0.19845677610089155,-0.22484537487405096,58234.24589782953,53100.0,53100.0,64900.0
-20.322115392178738,-12.600496648909735,-15.827072198918216,-0.016651715178668373,0.02306124441305031,-0.002193017234670739,-0.9702394769455509,-7.631004210516139,0.3337392354534927,-0.20215066325597703,0.3233973769205483,0.13286569686325636,59363.3885666728,53100.0,53100.0,63507.71674513817
-20.364524717555966,-12.263925242602667,-15.811703080251895,-0.012962281821026133,0.03693432609307213,0.01581870284663474,0.2390433148657891,2.008095919636844,1.6709592977240035,0.1976626576569356,-0.45318828059588967,-0.610216172435377,55682.89369344711,53100.0,53100.0,64900.0
-20.64132882891297,-12.447787730739048,-15.668305181319852,-0.010325123729448943,0.018301353783697984,0.013189500866231017,-5.689751119235368,1.1267910777236274,1.5710109247272896,0.00836459145779939,-0.08142044540409851,-0.5724318879670784,53100.0,53100.0,53100.0,64900.0
-20.569733949319584,-12.52954966130616,-15.782036818710605,-0.015483424683927254,0.024803979132775166,0.01790181126467893,-4.1291595054323125,-2.303529405434105,-1.6444338625435932,0.07994221891601824,-0.027520858595216934,-0.35515036939052064,54575.656914711,53100.0,53100.0,64230.50016760826
-20.612730336798904,-12.387901390205174,-15.872747377405364,-0.00844325651298315,0.027969808100860413,0.024431466228253835,-2.637913237927343,2.7019893673251083,-1.678258210721225,0.010449295510508477,-0.2645642161321816,-0.662209985916499,53100.0,53100.0,53100.0,64900.0
-20.900686463511814,-12.431741454461827,-15.923192162236578,-0.011308835948227519,0.03279641723813257,0.0342294655351266,-9.424120455940226,-1.3343771656235752,-2.679515408514206,0.005366340993561836,-0.14511851104938037,-0.5964224673105898,53100.0,53100.0,53100.0,64900.0
-21.01815300119479,-12.480493822549947,-16.184366059051996,0.002521732810912455,0.02201905920083581,0.029011274403122306,-10.527913612288202,0.34647380977867215,-5.123052514957678,-0.19258018530190008,0.13191193617920574,-0.39374794034161875,53100.0,53100.0,54216.230672597885,64900.0
-21.17485672531143,-12.425850418169395,-16.529982394968368,-0.0068518233036513505,0.028997977633617517,0.04327913245639001,-13.046833580106187,4.119863111359614,-9.115378082834482,-0.008882772997156323,-0.016305916195760894,-0.6092457554736496,53100.0,53100.0,56690.525779128075,64900.0
-20.906815224807968,-12.372502406845213,-16.636572390542018,0.006703908573258777,0.01003775687765753,0.012999192294551222,-7.03658101729097,0.3496834478116462,-9.698277783791426,-0.18804776837455797,0.1889453615482955,-0.16598660145127814,53100.0,53100.0,54016.83349609375,64900.0
-20.870963494500998,-11.903016630517607,-17.114630224254963,-0.003339316565302998,0.009260683186951005,0.020892211738815506,-6.625522798288678,13.206103316513566,-18.226828594320704,-0.12162603267486727,0.08703068677729994,-0.4324511848352536,53100.0,53100.0,57058.880680799484,64900.0
-20.772879599088263,-11.752703554833396,-17.557488671638936,-0.011437843173073921,0.009592739711074725,0.029053102000848815,-5.972579874053189,5.933363778518246,-22.74619038735606,0.01447494732173583,0.4379045312954714,-0.1920029195403464,53100.0,53100.0,55717.503744363785,64900.0
-20.590444248878036,-11.715953986670876,-18.198857586815564,-0.0070205835262890865,-0.005548331130285169,0.022457953724580614,2.134796339240914,8.511930754390523,-34.897232181352834,-0.03520823459175741,0.33802689192149404,-0.09992440703327343,56981.74067735672,53100.0,53100.0,64900.0
-20.69525963544549,-11.580046260513278,-19.000218812739387,0.010615859186643688,-0.030408646176299337,0.016841625848775462,-2.3931788777914846,13.059376793066075,-43.97061463605689,-0.46125107175011265,0.7927184201764678,0.007242262464223126,55337.5513792038,53100.0,53100.0,64900.0
-20.72790094950054,-11.671585086546912,-19.609773699309606,0.011458807707522708,-0.035540377150737865,0.049645964120613735,-3.3056319970274046,7.783522302157422,-48.8043138912595,-0.2266889851598782,0.7639529540421774,-0.558188000180585,54720.51891684532,53100.0,53100.0,64900.0
-20.298590312172678,-11.559028489868195,-20.68237954577115,0.008584817010750263,-0.045805880498167924,0.03869742287159416,9.096218413938956,10.855380946667157,-65.1129270620766,-0.3044633038819386,1.069484741143967,0.043384906248532584,57014.301562309265,53100.0,53100.0,64900.0
-19.99140090432262,-10.956122282366808,-21.997469365644765,0.0021468879900971476,-0.058292150142546344,0.04070160004520468,13.223939264866539,22.237756153489315,-79.72147661385316,0.0993670486610852,0.9967786193901661,-0.2379161190662577,56567.903047800064,53100.0,53918.20872426033,64900.0
-20.25496801130692,-10.831759195185485,-23.091678422610965,0.01596090110025156,-0.07347005019318624,0.058818523748778336,11.06551092916905,20.19536126683994,-85.94514664695028,-0.4379711627692221,1.4344450587612445,-0.11349459675906921,56547.1082508564,53100.0,53746.33022546768,64900.0
-19.846316753997677,-10.256010520532744,-24.85092743491587,0.013151589182108429,-0.09217343740890505,0.08931819788386575,15.39299957542078,31.66930934163171,-111.99610160859336,-0.00025694496596633253,1.3434170968773027,-1.1461842285478847,59122.30754941702,53712.93307542801,54713.31325173378,64900.0
-18.867572587068057,-10.25619164466147,-27.973305414232396,0.10530406434701586,-0.24107227780726243,0.04588697624351423,30.50165926324941,20.662691539606556,-151.69552083993216,-1.8080442622906454,3.895396235175963,-0.0883151857864755,61890.96488952637,55761.95731759071,53100.0,64900.0
